Rank,Country / territory,Population2010(OECD estimate),Changefrom 2005*,Area (km2)[1],Populationdensity(peopleper km2)
172,Luxembourg,502066,,,0
173,Brunei,414400,,,0
174,Malta,414372,,,0
175,Guadeloupe,404394,,,0
176,Martinique,399637,,,0
177,Bahamas,353658,,,0
178,Maldives,319738,,,0
179,Iceland,317630,,,0
180,Belize,312971,,,0
181,Barbados,276300,,,0
182,French Polynesia,267000,,,0
183,New Caledonia,248000,,,0
184,Vanuatu,245036,,,0
185,French Guiana,232223,,,0
186,Mayotte,202000,,,0
187,Samoa,183123,,,0
188,Guam,180865,,,0
189,Saint Lucia,174000,,,0
190,São Tomé and Príncipe,165397,,,0
191,Curacao,142180,,,0
192,Grenada,109553,,,0
193,Saint Vincent and the Grenadines,109284,,,0
194,U.S. Virgin Islands,106267,,,0
195,Tonga,103365,,,0
196,Micronesia,102624,,,0
197,Aruba,101484,,,0
198,Kiribati,100835,,,0
